     Yi/Gi      Z/B      Cr/U2     Cu/U2  
    .21541    .42500    .05376    .31215
    .21923    .42500    .04939    .31808
    .22718    .42500    .03551    .32292
    .24310    .42500    .02110    .38636
    .25901    .42500    .01596    .44630
    .27493    .42500    .03478    .53356
    .29085    .42500    .06801    .58897
    .30676    .42500    .08267    .59442
    .32268    .42500    .09013    .58783
    .35451    .42500    .06595    .54709
    .38634    .42500    .05216    .50210
    .41817    .42500    .13321    .43974
    .43408    .42500    .18247    .39640
    .45000    .42500    .23179    .35516
    .51449    .42500    .18434    .36862
    .55109    .42500    .14826    .37743
    .58770    .42500    .13286    .36466
    .61953    .42500    .15233    .34568
    .63545    .42500    .16408    .34346
    .65136    .42500    .17059    .34652
    .66728    .42500    .16720    .35845
    .68319    .42500    .16159    .37012
    .71502    .42500    .14400    .38007
    .74686    .42500    .13119    .38699
    .76277    .42500    .12166    .38491
    .77073    .42500    .11144    .38654
    .77869    .42500    .11039    .37528
