     R/R2    Teta(deg)    Cp    
   1.01905     4.463    .55142
   1.01905     5.282    .53773
   1.01905     6.100    .51887
   1.01905     9.417    .49472
   1.01905    11.299    .49056
   1.01905    13.182    .44769
   1.01905    14.819    .43581
   1.01905    15.637    .40754
   1.01905    16.456    .37127
   1.01905    17.274    .33847
   1.01905    18.093    .28001
   1.01905    19.730    .20508
   1.01905    21.367    .35297
   1.01905    22.185    .41697
   1.01905    22.595    .45374
   1.01905    23.004    .48187
   1.01905    23.413    .50502
   1.01905    23.626    .52250
   1.01905    23.822    .53780
   1.01905    24.035    .56576
   1.01905    24.232    .58861
   1.01905    24.641    .61123
   1.01905    25.459    .64095
   1.01905    26.278    .64597
   1.01905    27.096    .64055
   1.01905    27.915    .62695
   1.01905    28.734    .60817
   1.01905    29.552    .58979
   1.01905    31.189    .57776
   1.01905    32.826    .57340
   1.01905    34.463    .56098
   1.01905    35.282    .54468
   1.01905    36.100    .53213
   1.01905    39.417    .55710
   1.01905    41.300    .58686
   1.01905    43.182    .59897
   1.01905    44.819    .59755
   1.01905    45.638    .59438
   1.01905    46.456    .59282
   1.01905    47.275    .59645
   1.01905    48.093    .60254
   1.01905    49.730    .61530
   1.01905    51.367    .62511
   1.01905    52.186    .63326
   1.01905    52.595    .63285
   1.01905    53.004    .63180
   1.01905    53.414    .63896
   1.01905    53.627    .64372
   1.01905    53.823    .64714
   1.01905    54.035    .64821
   1.01905    54.232    .65006
   1.01905    54.641    .65078
   1.01905    55.460    .65280
   1.01905    56.278    .64823
   1.01905    57.097    .64299
   1.01905    57.915    .63816
   1.01905    58.734    .63498
   1.01905    59.552    .63035
   1.01905    61.189    .62015
   1.01905    62.827    .60535
   1.01905    64.464    .58520
   1.01905    65.282    .57629
   1.01905    66.101    .56512
   1.01905    69.417    .46322
   1.01905    71.300    .34424
   1.01905    73.182    .48885
   1.01905    74.819    .61210
   1.01905    75.638    .66804
   1.01905    76.456    .70985
   1.01905    77.275    .71905
   1.01905    78.093    .71210
   1.01905    79.730    .69547
   1.01905    81.367    .67218
   1.01905    82.186    .66802
   1.01905    82.595    .66432
   1.01905    83.004    .66999
   1.01905    83.414    .67345
   1.01905    83.627    .67427
